2023-06-17 18:42:28,628,RT1BMLBV1,RT1BMLBV2,RT1BMLBV3,RT1BMLBV4,RT1BMLBV5,RT1BMLBV6,RT1BMLBV7,RT1BMLBV8,RT1BMCBV01,RT1BMCBV02,RT1BMCBV03,RT1BMCBV04,RT1BMCBV05,RT1BMCBV06,RT1BMCBV07,RT1BMCBV08,RT1BMCBV09,RT1BMCBV10,RT1BMCBV11,RT1BMCBV12,RT1BMCBV13,RT1BMCBV14,RT1BMCBV15,RT1BMCBV16,RT1BMLBT1,RT1BMLBT2,RT1BMLBT3,RT1BMLBT4,RT1BMLBT5,RT1BMLBT6,RT1BMLBT7,RT1BMLBT8,RT1BMCBT01,RT1BMCBT02,RT1BMCBT03,RT1BMCBT04,RT1BMCBT05,RT1BMCBT06,RT1BMCBT07,RT1BMCBT08,RT1BMCBT09,RT1BMCBT10,RT1BMCBT11,RT1BMCBT12,RT1BMCBT13,RT1BMCBT14,RT1BMCBT15,RT1BMCBT16,RT1BMLBBV,RT1BMCBBV,RT1BMLBI,RT1BMCBI,RM2BMLBV1,RM2BMLBV2,RM2BMLBV3,RM2BMLBV4,RM2BMLBV5,RM2BMLBV6,RM2BMLBV7,RM2BMLBV8,RM2BMLBT1,RM2BMLBT2,RM2BMLBT3,RM2BMLBT4,RM2BMLBT5,RM2BMLBT6,RM2BMLBT7,RM2BMLBT8,RM2BMLBBV,RM2BMLBI,RM3BMLBV1,RM3BMLBV2,RM3BMLBV3,RM3BMLBV4,RM3BMLBV5,RM3BMLBV6,RM3BMLBV7,RM3BMLBV8,RM3BMLBT1,RM3BMLBT2,RM3BMLBT3,RM3BMLBT4,RM3BMLBT5,RM3BMLBT6,RM3BMLBT7,RM3BMLBT8,RM3BMLBBV,RM3BMLBI,RT4BMLBV1,RT4BMLBV2,RT4BMLBV3,RT4BMLBV4,RT4BMLBV5,RT4BMLBV6,RT4BMLBV7,RT4BMLBV8,RT4BMCBV01,RT4BMCBV02,RT4BMCBV03,RT4BMCBV04,RT4BMCBV05,RT4BMCBV06,RT4BMCBV07,RT4BMCBV08,RT4BMCBV09,RT4BMCBV10,RT4BMCBV11,RT4BMCBV12,RT4BMCBV13,RT4BMCBV14,RT4BMCBV15,RT4BMCBV16,RT4BMLBT1,RT4BMLBT2,RT4BMLBT3,RT4BMLBT4,RT4BMLBT5,RT4BMLBT6,RT4BMLBT7,RT4BMLBT8,RT4BMCBT01,RT4BMCBT02,RT4BMCBT03,RT4BMCBT04,RT4BMCBT05,RT4BMCBT06,RT4BMCBT07,RT4BMCBT08,RT4BMCBT09,RT4BMCBT10,RT4BMCBT11,RT4BMCBT12,RT4BMCBT13,RT4BMCBT14,RT4BMCBT15,RT4BMCBT16,RT4BMLBBV,RT4BMCBBV,RT4BMLBI,RT4BMCBI,RT5BMLBV1,RT5BMLBV2,RT5BMLBV3,RT5BMLBV4,RT5BMLBV5,RT5BMLBV6,RT5BMLBV7,RT5BMLBV8,RT5BMCBV01,RT5BMCBV02,RT5BMCBV03,RT5BMCBV04,RT5BMCBV05,RT5BMCBV06,RT5BMCBV07,RT5BMCBV08,RT5BMCBV09,RT5BMCBV10,RT5BMCBV11,RT5BMCBV12,RT5BMCBV13,RT5BMCBV14,RT5BMCBV15,RT5BMCBV16,RT5BMLBT1,RT5BMLBT2,RT5BMLBT3,RT5BMLBT4,RT5BMLBT5,RT5BMLBT6,RT5BMLBT7,RT5BMLBT8,RT5BMCBT01,RT5BMCBT02,RT5BMCBT03,RT5BMCBT04,RT5BMCBT05,RT5BMCBT06,RT5BMCBT07,RT5BMCBT08,RT5BMCBT09,RT5BMCBT10,RT5BMCBT11,RT5BMCBT12,RT5BMCBT13,RT5BMCBT14,RT5BMCBT15,RT5BMCBT16,RT5BMLBBV,RT5BMCBBV,RT5BMLBI,RT5BMCBI,RM6BMLBV1,RM6BMLBV2,RM6BMLBV3,RM6BMLBV4,RM6BMLBV5,RM6BMLBV6,RM6BMLBV7,RM6BMLBV8,RM6BMLBT1,RM6BMLBT2,RM6BMLBT3,RM6BMLBT4,RM6BMLBT5,RM6BMLBT6,RM6BMLBT7,RM6BMLBT8,RM6BMLBBV,RM6BMLBI,RM7BMLBV1,RM7BMLBV2,RM7BMLBV3,RM7BMLBV4,RM7BMLBV5,RM7BMLBV6,RM7BMLBV7,RM7BMLBV8,RM7BMLBT1,RM7BMLBT2,RM7BMLBT3,RM7BMLBT4,RM7BMLBT5,RM7BMLBT6,RM7BMLBT7,RM7BMLBT8,RM7BMLBBV,RM7BMLBI,RT8BMLBV1,RT8BMLBV2,RT8BMLBV3,RT8BMLBV4,RT8BMLBV5,RT8BMLBV6,RT8BMLBV7,RT8BMLBV8,RT8BMCBV01,RT8BMCBV02,RT8BMCBV03,RT8BMCBV04,RT8BMCBV05,RT8BMCBV06,RT8BMCBV07,RT8BMCBV08,RT8BMCBV09,RT8BMCBV10,RT8BMCBV11,RT8BMCBV12,RT8BMCBV13,RT8BMCBV14,RT8BMCBV15,RT8BMCBV16,RT8BMLBT1,RT8BMLBT2,RT8BMLBT3,RT8BMLBT4,RT8BMLBT5,RT8BMLBT6,RT8BMLBT7,RT8BMLBT8,RT8BMCBT01,RT8BMCBT02,RT8BMCBT03,RT8BMCBT04,RT8BMCBT05,RT8BMCBT06,RT8BMCBT07,RT8BMCBT08,RT8BMCBT09,RT8BMCBT10,RT8BMCBT11,RT8BMCBT12,RT8BMCBT13,RT8BMCBT14,RT8BMCBT15,RT8BMCBT16,RT8BMLBBV,RT8BMCBBV,RT8BMLBI,RT8BMCBI,RM2BMLBI,RM3BMLBI,RM6BMLBI,RM7BMLBI,RT1BMCBI,RT1BMLBI,RT4BMCBI,RT4BMLBI,RT5BMCBI,RT5BMLBI,RT8BMCBI,RT8BMLBI,XT1PLESNSETNO8B
2023-06-17 18:42:29,487,13992,13893,13995,13911,13964,13941,13912,14005,13714,13707,13730,13727,13750,13758,13773,13770,13753,13754,13720,13722,13750,13750,13698,13701,188,196,196,191,185,192,192,182,185,193,200,188,187,193,196,189,182,195,197,192,194,196,194,188,1116,1098,42,85,13895,13935,13906,13891,13939,13970,13898,13941,192,206,202,190,201,204,208,200,1113,42,14016,14019,13962,13976,13979,13941,13968,13902,191,203,207,198,193,200,200,195,1117,42,13926,13878,13871,13890,13902,13879,13865,13918,13929,13930,14104,14106,14039,14037,13926,13926,14072,14076,13986,13989,13973,13973,13967,13971,191,193,201,194,193,198,190,186,194,195,193,187,190,193,188,186,181,194,189,186,189,187,185,188,1111,1120,43,84,14121,14020,14040,14054,14101,14002,13941,14194,13928,13931,14126,14121,13926,13927,13989,13992,13890,13885,14069,14068,13845,13843,14075,14076,190,202,201,194,191,199,197,190,190,195,193,191,183,184,193,187,193,189,186,188,188,193,187,187,1124,1118,42,84,14124,14057,14033,14129,14073,14147,14069,14072,191,196,199,196,194,198,199,193,1127,39,13972,13871,13955,13897,13882,13789,13916,14018,183,188,188,185,192,198,194,187,1113,42,13827,13831,13843,13822,13870,13880,13844,13862,13697,13694,13657,13654,13661,13659,13653,13651,13682,13681,13691,13685,13699,13698,13678,13675,183,187,197,183,186,188,182,178,202,199,190,191,189,185,192,187,187,182,185,187,181,183,186,183,1107,1094,43,85,42,42,39,42,85,42,84,43,84,42,85,43,  B19 
2023-06-17 18:42:59,525,13996,13896,13999,13914,13966,13943,13916,14012,13710,13705,13727,13725,13748,13755,13771,13768,13750,13751,13717,13719,13748,13748,13696,13697,188,196,196,191,185,192,192,182,185,193,200,188,187,194,196,189,182,195,197,192,194,196,194,188,1116,1098,42,84,13897,13938,13909,13894,13943,13974,13901,13944,192,206,202,190,201,204,208,200,1114,42,14020,14024,13967,13978,13982,13946,13970,13905,191,203,207,198,193,200,200,195,1117,42,13927,13879,13872,13891,13904,13880,13866,13920,13939,13940,14119,14121,14053,14050,13935,13936,14088,14093,13996,13999,13985,13985,13978,13981,191,193,201,194,193,198,190,186,194,195,193,187,190,194,188,186,181,194,190,186,189,187,185,188,1111,1120,43,84,14128,14027,14046,14062,14109,14006,13944,14206,13945,13948,14147,14143,13938,13939,14004,14007,13902,13898,14089,14088,13854,13853,14099,14100,190,202,201,194,191,199,197,190,190,195,193,191,183,184,193,187,193,189,186,188,188,193,187,187,1125,1119,42,83,14125,14058,14034,14133,14076,14150,14073,14074,191,196,199,197,194,198,199,193,1127,38,13970,13868,13953,13893,13880,13787,13915,14019,183,188,188,185,192,198,194,187,1112,42,13820,13825,13839,13815,13865,13875,13839,13858,13693,13689,13653,13650,13657,13656,13653,13651,13676,13676,13687,13681,13695,13694,13674,13670,183,187,197,183,186,188,182,178,202,199,190,191,189,185,192,187,187,182,185,187,181,183,186,183,1107,1093,43,85,42,42,38,42,84,42,84,43,83,42,85,43,  B19 
2023-06-17 18:43:29,561,14002,13901,14006,13919,13969,13948,13921,14020,13709,13705,13727,13725,13748,13756,13771,13768,13751,13752,13716,13719,13748,13748,13695,13696,188,196,196,191,185,192,192,182,186,193,200,188,187,194,197,189,182,196,197,192,194,196,195,188,1116,1098,42,84,13902,13943,13914,13898,13948,13979,13905,13950,192,206,202,190,201,204,208,200,1114,42,14026,14032,13972,13983,13988,13950,13975,13911,191,204,207,198,193,200,200,195,1118,42,13931,13884,13876,13894,13909,13883,13870,13924,13953,13954,14139,14142,14071,14069,13951,13952,14109,14114,14012,14016,14003,14003,13995,13999,191,193,201,194,193,198,190,186,194,195,193,187,190,194,188,186,181,194,190,186,189,187,186,188,1111,1122,43,84,14147,14042,14061,14081,14129,14019,13955,14229,13972,13975,14181,14176,13958,13959,14029,14033,13925,13920,14117,14116,13870,13868,14130,14131,190,202,201,194,191,199,197,190,190,195,193,191,183,184,193,187,193,189,186,188,188,193,187,187,1126,1121,42,84,14128,14061,14037,14138,14080,14156,14079,14078,191,196,199,197,194,198,199,193,1127,38,13975,13872,13960,13897,13885,13789,13921,14027,183,188,188,185,192,198,194,187,1113,42,13820,13825,13840,13813,13865,13876,13839,13858,13695,13691,13656,13653,13660,13659,13658,13655,13678,13678,13689,13683,13697,13696,13674,13671,184,187,197,183,186,188,182,178,202,199,190,191,189,185,192,187,187,182,185,187,181,183,186,183,1107,1093,43,85,42,42,38,42,84,42,84,43,84,42,85,43,  B19 
2023-06-17 18:43:59,598,14010,13908,14016,13926,13974,13953,13928,14030,13718,13713,13734,13732,13757,13764,13779,13777,13760,13762,13725,13727,13757,13757,13703,13705,188,196,196,191,186,192,192,182,186,193,200,188,187,194,197,189,182,196,197,192,194,196,195,188,1117,1099,42,85,13908,13950,13921,13905,13955,13987,13911,13958,192,206,202,190,201,204,208,200,1114,43,14031,14037,13977,13986,13992,13956,13979,13916,191,204,207,198,193,201,200,195,1118,42,13935,13888,13879,13898,13914,13886,13873,13928,13972,13972,14164,14167,14092,14090,13970,13970,14133,14137,14032,14036,14026,14025,14016,14020,191,193,201,194,193,198,190,186,194,195,193,187,190,194,188,186,181,194,190,186,189,187,186,188,1112,1124,43,84,14168,14062,14079,14103,14151,14034,13967,14256,13996,13999,14210,14204,13976,13976,14052,14055,13947,13942,14142,14141,13887,13885,14159,14160,190,202,202,194,191,199,197,190,190,195,193,191,183,184,193,187,193,190,186,188,188,193,187,187,1128,1123,42,84,14133,14066,14041,14145,14086,14163,14086,14085,191,196,199,197,194,198,199,193,1128,38,13988,13883,13975,13909,13898,13797,13935,14044,184,188,188,185,192,198,194,188,1114,42,13827,13831,13848,13819,13873,13886,13847,13866,13692,13689,13654,13651,13658,13657,13658,13655,13674,13675,13687,13681,13694,13693,13671,13667,184,187,197,183,186,188,182,178,202,199,190,191,189,185,192,187,187,182,186,187,181,183,186,183,1107,1093,43,84,43,42,38,42,85,42,84,43,84,42,84,43,  B19 
2023-06-17 18:44:29,615,13120,13068,13137,13046,13077,13069,13001,13077,13058,13023,13058,13055,13065,13071,13088,13084,13073,13100,13075,13048,13069,13066,13020,13019,188,196,196,191,186,192,192,182,186,193,200,189,187,194,197,189,182,196,197,192,194,196,195,188,1045,1044,-26,-36,13081,13130,13085,13078,13122,13126,13090,13109,192,206,202,191,201,204,208,200,1048,-24,13125,13105,13079,13109,13089,13052,13113,13040,191,204,207,198,193,201,200,195,1047,-24,13089,13053,13060,13076,13077,13072,13051,13070,13111,13110,13209,13213,13155,13153,13084,13084,13136,13138,13156,13161,13092,13091,13107,13110,191,193,201,194,193,198,191,186,194,195,193,187,190,194,188,186,181,194,190,186,189,187,186,188,1045,1050,-26,-31,13092,13050,13081,13041,13090,13064,13010,13109,13094,13095,13187,13182,13118,13117,13138,13140,13105,13099,13158,13155,13070,13067,13150,13150,190,202,202,194,191,199,197,190,190,195,193,191,183,184,193,187,193,190,186,188,188,193,187,187,1045,1050,-22,-31,13172,13130,13077,13155,13067,13139,13079,13138,191,196,199,197,194,199,199,193,1049,-19,13058,12999,13026,12996,12975,12935,12999,13046,184,188,188,185,192,198,194,188,1040,-24,12960,12964,12984,13005,13058,13022,13015,13039,13055,13050,13012,13008,13015,13012,13044,13043,13025,13024,13041,13036,13040,13039,13018,13014,184,187,197,183,186,188,182,178,202,199,191,191,189,185,192,187,187,182,186,187,181,183,186,183,1040,1042,-26,-34,-24,-24,-19,-24,-36,-26,-31,-26,-31,-22,-34,-26,  B19 
2023-06-17 18:44:59,630,12913,12867,12941,12838,12917,12907,12831,12916,12840,12840,12876,12874,12887,12894,12908,12906,12897,12893,12869,12876,12897,12896,12847,12842,188,196,196,191,186,192,192,182,186,193,200,189,187,194,197,189,183,196,197,192,194,196,195,188,1031,1030,-22,-36,12887,12941,12895,12888,12937,12934,12906,12927,192,206,202,190,201,204,208,200,1033,-20,12912,12899,12891,12901,12887,12863,12912,12838,191,204,207,198,193,201,200,195,1031,-21,12899,12857,12870,12887,12889,12887,12860,12887,12925,12924,13021,13025,12973,12972,12902,12904,12951,12955,12973,12979,12908,12908,12927,12930,191,193,201,194,193,198,191,186,194,195,193,187,190,194,188,185,181,194,190,186,189,187,186,188,1030,1035,-22,-31,12904,12871,12903,12860,12905,12882,12830,12927,12906,12907,12997,12992,12933,12931,12949,12952,12918,12912,12965,12964,12879,12876,12961,12962,191,202,202,194,191,199,197,190,190,195,193,191,183,184,193,187,193,190,186,188,188,193,187,187,1030,1035,-19,-31,12960,12919,12867,12948,12859,12935,12874,12937,191,196,198,197,194,199,199,193,1032,-17,12891,12832,12866,12840,12820,12778,12843,12888,184,188,188,185,192,198,194,188,1027,-20,12798,12801,12813,12824,12879,12837,12831,12840,12875,12871,12831,12827,12837,12834,12873,12872,12847,12847,12869,12864,12862,12866,12847,12843,184,187,197,183,186,188,182,178,202,199,191,191,189,185,192,187,187,182,186,187,181,183,186,183,1026,1028,-20,-34,-20,-21,-17,-20,-36,-22,-31,-22,-31,-19,-34,-20,  B19 
2023-06-17 18:45:29,666,12851,12808,12881,12776,12859,12848,12771,12859,12769,12768,12805,12803,12815,12821,12837,12833,12826,12823,12800,12805,12826,12825,12777,12776,188,196,196,191,186,192,192,182,186,193,200,189,187,194,197,189,183,196,197,193,194,196,195,188,1026,1024,-22,-36,12819,12875,12828,12823,12871,12867,12841,12859,192,206,202,190,201,204,208,200,1027,-20,12851,12840,12826,12838,12827,12796,12851,12779,191,204,207,198,193,201,200,195,1026,-20,12834,12790,12806,12820,12825,12825,12794,12822,12855,12855,12949,12954,12904,12903,12835,12837,12882,12886,12904,12911,12840,12840,12858,12861,191,193,201,194,193,198,191,186,194,195,193,187,191,194,188,185,181,194,190,186,189,188,186,188,1025,1030,-22,-31,12843,12812,12845,12798,12846,12818,12770,12864,12831,12833,12920,12916,12857,12855,12872,12875,12843,12837,12894,12893,12808,12805,12891,12892,191,202,202,194,191,199,197,190,190,195,193,191,183,185,193,187,193,190,186,188,188,193,187,187,1025,1029,-19,-31,12898,12857,12807,12889,12800,12875,12814,12879,191,196,198,197,194,199,199,193,1028,-17,12822,12760,12797,12770,12755,12710,12777,12819,184,188,188,185,192,198,194,188,1022,-20,12734,12741,12751,12755,12813,12767,12762,12769,12807,12803,12763,12760,12770,12767,12811,12811,12779,12779,12803,12798,12795,12791,12780,12776,184,187,197,183,186,188,182,178,202,199,191,191,189,185,192,187,187,182,186,187,181,183,186,183,1020,1022,-20,-35,-20,-20,-17,-20,-36,-22,-31,-22,-31,-19,-35,-20,  B19 
2023-06-17 18:45:59,703,12811,12769,12843,12737,12817,12806,12730,12817,12729,12722,12759,12757,12767,12774,12790,12787,12781,12784,12760,12760,12781,12780,12732,12734,188,196,196,191,186,192,192,182,186,193,200,189,187,194,197,189,183,196,197,193,194,196,195,188,1023,1020,-22,-36,12777,12833,12786,12781,12829,12826,12800,12818,192,206,202,190,201,204,208,200,1024,-20,12811,12801,12785,12798,12787,12754,12811,12741,191,204,207,198,193,201,200,195,1022,-20,12798,12753,12770,12782,12789,12790,12757,12785,12812,12811,12904,12909,12860,12859,12793,12795,12839,12842,12861,12867,12797,12797,12814,12818,191,193,201,194,193,198,191,186,194,195,193,187,191,194,188,185,181,194,190,186,189,188,186,188,1022,1026,-22,-31,12799,12770,12804,12754,12803,12774,12727,12819,12791,12792,12878,12874,12815,12812,12828,12832,12801,12796,12853,12852,12767,12765,12851,12852,191,202,202,194,191,199,197,190,190,195,193,191,183,185,193,187,193,190,186,188,188,193,187,187,1022,1025,-18,-31,12858,12818,12769,12852,12762,12837,12776,12842,191,196,198,197,194,199,199,193,1025,-17,12777,12714,12752,12725,12713,12667,12735,12774,184,188,188,185,192,198,194,188,1018,-20,12689,12697,12707,12710,12771,12723,12718,12724,12764,12760,12721,12718,12729,12725,12772,12772,12736,12736,12761,12756,12752,12749,12737,12734,184,187,197,182,186,187,182,178,202,199,191,191,189,186,192,186,187,182,186,187,181,183,186,183,1017,1019,-21,-34,-20,-20,-17,-20,-36,-22,-31,-22,-31,-18,-34,-21,  B19 
2023-06-17 18:46:29,739,12774,12733,12806,12700,12779,12769,12692,12780,12694,12689,12727,12725,12734,12740,12758,12754,12749,12749,12726,12728,12748,12747,12701,12700,188,196,196,191,186,192,192,182,186,193,200,189,187,194,197,189,183,196,197,193,194,196,195,188,1020,1018,-22,-36,12743,12801,12752,12749,12795,12794,12767,12784,192,206,202,190,201,204,208,200,1021,-20,12773,12763,12749,12759,12749,12718,12773,12703,191,204,207,198,193,201,200,195,1019,-21,12756,12711,12730,12741,12749,12751,12716,12743,12776,12776,12868,12873,12824,12823,12760,12761,12804,12807,12826,12832,12763,12762,12779,12783,191,193,201,194,193,198,191,186,194,196,193,187,191,194,188,185,181,194,190,186,189,188,186,188,1018,1024,-23,-31,12765,12738,12772,12721,12771,12740,12695,12785,12761,12763,12847,12843,12784,12782,12797,12800,12772,12766,12820,12819,12735,12732,12819,12819,191,202,201,194,191,199,198,190,190,195,193,191,183,185,193,186,194,190,186,188,188,193,187,187,1019,1023,-19,-31,12823,12783,12735,12818,12728,12802,12743,12808,191,196,198,197,194,198,199,193,1022,-17,12742,12680,12718,12691,12681,12635,12703,12741,184,188,188,185,192,198,194,188,1015,-20,12649,12659,12669,12676,12739,12690,12686,12690,12729,12724,12686,12684,12694,12691,12740,12739,12701,12701,12725,12720,12716,12718,12701,12697,184,187,197,182,186,187,182,178,202,199,190,191,189,186,192,186,187,182,186,187,181,183,186,183,1014,1016,-21,-35,-20,-21,-17,-20,-36,-22,-31,-23,-31,-19,-35,-21,  B19 
2023-06-17 18:46:59,776,12747,12708,12780,12674,12751,12741,12666,12753,12667,12664,12702,12700,12708,12714,12731,12729,12723,12722,12699,12703,12723,12722,12675,12673,188,196,196,191,186,192,192,182,186,194,200,189,188,194,197,189,183,196,198,193,194,196,195,188,1018,1016,-22,-36,12717,12774,12726,12723,12769,12767,12741,12758,192,206,202,190,201,204,208,200,1019,-20,12741,12732,12720,12727,12718,12688,12741,12673,191,204,207,198,193,201,200,195,1017,-21,12725,12679,12699,12709,12719,12720,12684,12712,12750,12749,12841,12845,12797,12796,12734,12735,12777,12781,12799,12805,12736,12736,12753,12756,191,193,201,194,193,198,191,186,194,196,193,187,191,194,188,185,181,194,190,186,189,188,186,188,1016,1021,-23,-31,12737,12711,12744,12693,12743,12711,12667,12756,12734,12735,12820,12815,12756,12754,12768,12771,12745,12739,12791,12790,12706,12704,12790,12791,191,202,201,194,191,199,198,190,190,195,193,191,183,185,193,186,194,190,186,188,188,193,187,187,1017,1021,-19,-31,12793,12753,12707,12789,12700,12773,12715,12781,192,196,198,197,194,199,199,193,1020,-17,12713,12650,12689,12661,12653,12606,12675,12711,184,188,188,185,192,198,194,188,1013,-20,12618,12631,12641,12644,12709,12659,12655,12658,12702,12697,12659,12656,12667,12664,12714,12713,12673,12673,12698,12693,12689,12689,12673,12669,184,187,197,182,186,187,182,178,202,199,190,191,189,186,192,186,187,182,186,187,181,183,186,183,1012,1014,-21,-35,-20,-21,-17,-20,-36,-22,-31,-23,-31,-19,-35,-21,  B19 
